ID;ORDERID;ITEMID;AMOUNT;UNITPRICE;LINETOTAL
4644;834;23903;3;270.706;812.119
4645;834;13461;1;88.609;88.609
4646;834;1470;8;28.568;228.548
4647;834;13952;2;147.309;294.617
4648;835;15488;2;117.277;234.555
4649;835;4599;8;167.470;1.339.759
4650;836;2451;7;161.696;1.131.874
4651;836;15858;3;62.528;187.585
4652;836;3459;3;13.742;41.226
4653;836;19515;4;15.181;60.722
4654;837;1316;5;133.609;668.043
4655;837;12653;5;15.167;75.834
4656;837;18192;3;17.232;51.697
4657;837;12026;9;381.422;3.432.802
4658;837;24188;7;262.505;1.837.534
4659;837;11288;4;154.887;619.546
4660;837;7914;4;369.030;1.476.121
4661;838;18726;10;145.519;1.455.189
4662;838;9745;6;22.428;134.570
4663;838;10972;4;99.874;399.496
4664;839;13849;5;30.736;153.679
4665;839;2336;8;193.865;1.550.923
4666;839;12765;4;177.866;711.465
4667;839;2136;7;261.544;1.830.808
4668;840;15629;1;762.645;762.645
4669;840;9164;1;127.206;127.206
4670;841;17679;1;50.098;50.098
4671;841;6277;1;1.266.812;1.266.812
4672;841;9087;1;109.039;109.039
4673;841;979;5;846.627;4.233.133
4674;841;15636;4;0.7435;29.739
4675;841;17834;7;34.238;239.665
4676;841;12302;9;27.146;244.315
4677;841;21510;7;31.612;221.285
4678;841;17180;2;26.324;52.648
4679;841;4851;2;295.965;591.930
4680;842;22280;10;39.916;399.161
4681;842;18216;4;42.393;169.574
4682;842;24246;5;29.704;148.522
4683;842;18983;10;264.560;2.645.598
4684;842;26211;10;81.246;812.456
4685;842;7365;8;0.7137;57.099
4686;842;12343;8;1.436.587;11.492.693
4687;842;6736;7;120.271;841.900
4688;842;8649;8;706.756;5.654.049
4689;842;16003;5;36.205;181.025
4690;843;22281;1;183.364;183.364
4691;843;5186;3;28.485;85.454
4692;844;16910;6;74.445;446.671
4693;844;10710;10;152.188;1.521.882
4694;844;10878;1;511.931;511.931
4695;844;16790;3;31.920;95.761
4696;844;11248;9;20.413;183.715
4697;844;15541;6;55.835;335.008
4698;844;8897;4;68.327;273.307
4699;845;18204;8;167.462;1.339.696
4700;845;13744;4;67.904;271.617
4701;845;16566;4;13.003;52.011
4702;845;22313;4;0.3167;12.668
4703;845;1594;10;24.596;245.963
4704;845;10881;7;43.024;301.171
4705;845;23102;7;18.382;128.672
4706;846;5311;9;189.454;1.705.084
4707;846;251;4;408.249;1.632.998
4708;846;10921;7;99.892;699.243
4709;846;8130;6;59.081;354.488
4710;846;14159;10;12.635;126.354
4711;846;9613;5;160.603;803.016
4712;847;13529;2;272.231;544.462
4713;847;7455;8;148.660;1.189.276
4714;847;24778;6;87.916;527.497
4715;848;16751;2;21.315;42.630
4716;848;27816;10;81.573;815.725
4717;848;8464;6;76.409;458.453
4718;848;19723;1;244.126;244.126
4719;848;22361;5;160.692;803.461
4720;848;26572;10;164.027;1.640.272
4721;848;21884;10;159.841;1.598.410
4722;849;9192;5;192.430;962.150
4723;849;9817;6;72.034;432.205
4724;849;1802;3;86.563;259.690
4725;849;9624;3;11.379;34.136
4726;850;23778;7;65.138;455.968
4727;850;7517;10;93.456;934.562
4728;850;20856;5;213.851;1.069.257
4729;850;11915;10;0.6679;66.792
4730;850;1612;5;107.916;539.581
4731;850;21182;6;494.292;2.965.749
4732;851;14449;4;55.056;220.223
4733;852;25378;8;64.500;515.999
4734;852;27271;4;1.807.867;7.231.468
4735;852;19311;6;213.810;1.282.860
4736;853;17722;6;73.338;440.029
4737;853;23474;6;196.727;1.180.364
4738;854;9377;10;99.193;991.935
4739;854;17182;9;63.987;575.884
4740;854;7073;10;45.645;456.454
4741;854;12860;5;64.949;324.745
4742;854;22054;8;384.770;3.078.164
4743;854;1568;9;140.363;1.263.263
4744;855;4796;4;130.586;522.343
4745;855;16352;2;0.9969;19.938
4746;855;1990;9;0.9579;86.209
4747;855;25967;2;43.130;86.260
4748;855;5947;5;89.551;447.755
4749;855;19761;3;61.777;185.331
4750;855;10284;7;264.274;1.849.918
4751;855;24723;1;161.757;161.757
4752;855;4677;2;13.413;26.825
4753;856;6972;2;255.108;510.216
4754;856;14323;9;103.973;935.756
4755;856;16525;10;22.563;225.634
4756;856;13293;3;0.5509;16.528
4757;856;11591;8;14.431;115.449
4758;857;20773;10;28.203;282.028
4759;857;1525;6;56.861;341.169
4760;858;12800;10;222.303;2.223.029
4761;858;12194;7;16.522;115.652
4762;858;5559;4;113.005;452.022
4763;858;12023;10;0.9867;98.669
4764;858;27669;3;45.379;136.138
4765;858;6271;4;44.555;178.220
4766;858;6100;5;66.603;333.016
4767;859;8204;8;134.908;1.079.263
4768;859;279;8;97.171;777.368
4769;859;6033;6;455.323;2.731.940
4770;859;4590;7;73.588;515.115
4771;859;11164;2;13.161;26.322
4772;859;12559;3;115.405;346.215
4773;859;6542;5;98.880;494.398
4774;859;23525;7;70.572;494.005
4775;859;1682;1;379.435;379.435
4776;860;26983;1;66.073;66.073
4777;860;19712;10;12.843;128.431
4778;860;3353;10;78.383;783.829
4779;860;313;10;1.199.307;11.993.071
4780;860;27697;2;12.357;24.714
4781;860;23709;1;70.797;70.797
4782;860;10723;8;0.4945;39.562
4783;860;14372;5;55.232;276.161
4784;861;2721;2;199.695;399.391
4785;861;11681;7;261.641;1.831.486
4786;862;23773;6;0.6728;40.369
4787;862;23209;9;65.910;593.191
4788;862;21710;10;86.495;864.951
4789;862;5575;9;649.535;5.845.813
4790;862;8386;10;88.940;889.395
4791;863;3956;7;43.064;301.446
4792;863;20654;5;176.229;881.146
4793;863;15697;3;33.217;99.652
4794;864;13249;10;85.571;855.715
4795;865;6915;9;533.766;4.803.895
4796;865;8847;10;158.054;1.580.537
4797;865;19355;9;72.432;651.885
4798;865;18219;8;57.951;463.609
4799;865;13491;6;1.072.521;6.435.126
4800;866;16209;10;223.107;2.231.069
4801;866;3557;6;40.713;244.278
4802;866;17559;10;116.078;1.160.778
4803;866;12020;1;15.850;15.850
4804;867;23648;4;70.200;280.801
4805;867;9417;4;538.063;2.152.251
4806;867;8038;3;51.444;154.333
4807;867;19585;6;50.287;301.719
4808;867;17028;9;34.534;310.805
4809;867;26818;5;33.494;167.472
4810;867;4804;7;14.525;101.678
4811;867;16665;7;68.116;476.812
4812;867;27562;6;0.7079;42.476
4813;867;19977;2;92.124;184.248
4814;868;6604;10;26.274;262.743
4815;868;8562;5;266.614;1.333.072
4816;868;2551;8;124.230;993.838
4817;869;24905;10;63.234;632.339
4818;869;10279;6;14.409;86.455
4819;869;11954;4;77.929;311.714
4820;869;26119;6;0.2545;15.271
4821;869;12484;6;0.8409;50.454
4822;869;18196;9;29.768;267.911
4823;869;20003;2;17.520;35.040
4824;869;5789;4;53.270;213.080
4825;869;287;8;285.035;2.280.282
4826;869;725;1;323.203;323.203
4827;870;24537;4;196.672;786.689
4828;870;19219;5;46.670;233.352
4829;870;7109;10;599.821;5.998.212
4830;870;492;3;321.523;964.568
4831;870;26747;8;48.301;386.408
4832;870;20015;5;106.488;532.439
4833;870;22232;1;243.121;243.121
4834;870;21095;5;223.059;1.115.293
4835;870;21978;1;65.675;65.675
4836;871;15105;3;48.502;145.505
4837;871;11389;4;15.283;61.134
4838;871;875;8;28.526;228.207
4839;871;10694;10;61.060;610.603
4840;871;5306;5;13.287;66.437
4841;871;4439;4;50.975;203.900
4842;871;19142;9;219.964;1.979.677
4843;871;11756;7;136.056;952.389
4844;871;20506;7;15.199;106.395
4845;872;8512;6;171.275;1.027.652
4846;872;24770;7;77.654;543.580
4847;872;18079;10;57.353;573.528
4848;872;9393;8;147.739;1.181.909
4849;872;7200;8;193.578;1.548.621
4850;872;19226;9;42.190;379.709
4851;872;20875;7;0.4848;33.933
4852;872;7574;6;40.892;245.354
4853;873;489;3;51.418;154.253
4854;874;7300;9;195.379;1.758.408
4855;874;8420;1;71.740;71.740
4856;875;26248;6;68.608;411.647
4857;875;9395;5;84.507;422.537
4858;875;13318;5;43.565;217.825
4859;876;8319;10;560.103;5.601.035
4860;877;6425;2;71.204;142.409
4861;877;20003;2;19.220;38.440
4862;877;9792;5;378.227;1.891.135
4863;877;25638;8;51.060;408.478
4864;877;14916;10;23.350;233.501
4865;877;12005;1;344.677;344.677
4866;878;9750;7;138.783;971.480
4867;878;4979;1;310.497;310.497
4868;878;18033;3;13.901;41.702
4869;878;10027;1;0.7588;0.7588
4870;878;13888;4;78.250;312.999
4871;878;21601;10;118.625;1.186.247
4872;878;14655;2;944.132;1.888.264
4873;878;7966;8;168.977;1.351.815
4874;879;22987;8;132.359;1.058.870
4875;880;12608;4;107.386;429.543
4876;880;14656;9;525.344;4.728.097
4877;880;12191;8;32.536;260.290
4878;880;13389;1;21.738;21.738
4879;880;11467;8;21.130;169.037
4880;880;10520;4;177.040;708.159
4881;880;27528;4;36.985;147.940
4882;881;25229;6;100.455;602.727
4883;881;16622;8;104.763;838.104
4884;882;15267;10;736.860;7.368.601
4885;882;16723;2;50.501;101.001
4886;882;12107;10;153.771;1.537.709
4887;882;17539;6;272.317;1.633.902
4888;882;21259;8;0.3126;25.007
4889;882;12920;8;165.103;1.320.828
4890;883;23209;5;73.103;365.517
4891;883;22846;8;167.334;1.338.674
4892;883;2181;4;146.427;585.708
4893;883;22560;3;105.320;315.960
4894;883;5275;7;149.876;1.049.131
4895;883;19113;6;0.7250;43.502
4896;883;6010;8;89.890;719.118
4897;883;23338;2;120.676;241.352
4898;884;4770;3;42.085;126.254
4899;885;8463;2;143.758;287.516
4900;885;9338;6;0.3330;19.979
4901;885;22997;10;56.192;561.916
4902;886;4441;4;89.718;358.872
4903;886;19172;7;44.252;309.761
4904;886;12121;10;72.451;724.506
4905;886;737;9;543.285;4.889.568
4906;887;19273;8;25.904;207.234
4907;887;15578;8;76.380;611.039
4908;887;26232;7;80.487;563.411
4909;887;20652;2;221.817;443.634
4910;887;24068;3;26.969;80.908
4911;887;623;3;289.597;868.791
4912;887;12506;9;96.614;869.530
4913;887;20905;10;20.687;206.867
4914;888;8483;4;205.069;820.276
4915;888;14305;7;20.130;140.910
4916;888;4118;7;259.333;1.815.332
4917;888;19431;3;156.590;469.769
4918;888;12353;2;53.294;106.587
4919;888;1747;7;138.758;971.309
4920;888;18876;8;45.916;367.326
4921;888;16622;8;92.262;738.099
4922;888;11713;10;62.630;626.297
4923;888;23282;2;16.396;32.791
4924;889;24104;3;176.016;528.048
4925;889;17829;2;51.087;102.175
4926;889;21184;10;61.218;612.185
4927;889;22654;9;219.548;1.975.935
4928;889;10842;2;214.789;429.579
4929;889;9444;5;164.364;821.819
4930;890;13080;10;40.070;400.700
4931;890;4012;8;96.937;775.493
4932;890;11305;2;14.461;28.922
4933;890;6709;7;76.842;537.894
4934;890;20603;6;13.018;78.110
4935;891;4429;4;166.554;666.215
4936;892;5926;3;37.574;112.721
4937;892;12531;10;577.844;5.778.444
4938;892;6572;9;49.825;448.429
4939;892;8060;1;76.599;76.599
4940;892;25425;5;224.116;1.120.579
4941;892;6282;8;34.067;272.537
4942;892;9265;5;58.299;291.495
4943;892;9795;3;29.339;88.017
4944;893;5314;5;172.027;860.134
4945;893;7163;2;46.580;93.159
4946;893;7934;7;0.4079;28.550
4947;893;25120;5;111.574;557.871
4948;893;23382;4;86.132;344.528
4949;893;12960;10;1.219.240;12.192.397
4950;893;11636;2;47.728;95.457
4951;893;5289;2;60.860;121.721
4952;894;20417;7;63.577;445.040
4953;894;16998;10;179.877;1.798.766
4954;894;1247;5;170.299;851.493
4955;894;10389;8;1.027.926;8.223.411
4956;894;16382;1;209.731;209.731
4957;895;16285;6;185.873;1.115.240
4958;895;8038;1;48.052;48.052
4959;895;6907;1;80.632;80.632
4960;895;28022;10;35.822;358.223
4961;895;12628;10;0.8140;81.396
4962;895;2376;1;31.394;31.394
4963;896;726;2;1.265.475;2.530.950
4964;896;7033;2;80.183;160.366
4965;896;341;4;89.087;356.350
4966;896;25530;9;331.869;2.986.825
4967;896;20057;3;90.252;270.755
4968;896;12598;7;14.896;104.273
4969;896;4031;8;0.8058;64.462
4970;896;15788;8;12.655;101.243
4971;896;10553;10;310.907;3.109.068
4972;897;15084;3;282.341;847.022
4973;897;20982;7;166.257;1.163.799
4974;897;19357;1;149.411;149.411
4975;897;7521;1;45.376;45.376
4976;897;25235;10;48.574;485.744
4977;897;11322;1;12.371;12.371
4978;897;25622;7;155.314;1.087.197
4979;897;4177;2;39.097;78.194
4980;897;14721;10;19.142;191.418
4981;898;10152;8;199.726;1.597.808
4982;898;10826;10;17.064;170.641
4983;898;17021;5;38.810;194.048
4984;898;4714;5;143.333;716.667
4985;898;19795;6;26.724;160.346
4986;898;6797;6;67.004;402.022
4987;898;16077;6;245.669;1.474.012
4988;899;938;8;289.727;2.317.816
4989;899;17332;9;86.258;776.320
4990;899;16528;9;57.305;515.746
4991;899;12665;5;396.060;1.980.301
4992;899;7221;10;138.898;1.388.980
4993;899;7439;10;96.544;965.442
4994;899;3233;4;103.209;412.838
4995;899;15162;4;85.590;342.361
4996;900;13481;4;145.946;583.786
4997;901;9192;10;209.957;2.099.572
4998;901;23223;2;35.144;70.288
4999;901;9760;7;15.322;107.251
5000;901;24416;2;65.824;131.648
5001;901;16976;5;292.067;1.460.336
5002;901;8733;1;1.636.754;1.636.754
5003;901;22436;1;711.430;711.430
5004;902;22135;9;95.181;856.625
5005;902;14548;3;122.637;367.911
5006;902;21169;6;128.299;769.795
5007;902;25108;10;22.885;228.851
5008;902;17042;5;127.966;639.832
5009;902;15667;9;123.720;1.113.482
5010;902;7862;6;76.326;457.953
5011;902;17518;7;615.013;4.305.092
5012;902;25323;6;59.973;359.841
5013;903;13242;3;26.324;78.973
5014;903;11799;5;928.975;4.644.874
5015;904;15136;7;664.777;4.653.440
5016;904;24235;2;97.161;194.322
5017;904;22165;10;21.845;218.450
5018;904;15319;9;52.446;472.014
5019;904;7535;4;949.087;3.796.349
5020;904;21679;1;27.533;27.533
5021;904;7403;6;14.301;85.809
5022;904;23652;5;89.988;449.942
5023;904;11063;3;988.802;2.966.406
5024;904;3291;3;43.948;131.843
5025;905;977;9;302.766;2.724.894
5026;906;16610;5;0.4881;24.403
5027;906;13655;8;30.524;244.189
5028;907;1083;7;450.118;3.150.825
5029;908;13951;6;118.063;708.378
5030;908;4965;10;18.969;189.692
5031;908;24376;1;35.672;35.672
5032;908;3900;6;337.538;2.025.225
5033;908;18439;7;84.516;591.615
5034;908;3964;9;207.747;1.869.719
5035;908;7261;3;595.181;1.785.543
5036;908;5519;5;142.564;712.819
5037;908;9952;8;68.503;548.026
5038;908;17706;6;78.190;469.143
5039;909;498;10;249.771;2.497.708
5040;909;13101;7;67.581;473.065
5041;909;11242;3;24.010;72.031
5042;909;18505;2;214.319;428.638
5043;909;15257;3;216.164;648.492
5044;909;13696;1;10.403;10.403
5045;909;26991;6;86.783;520.698
5046;909;2941;5;15.427;77.133
5047;910;5821;3;15.493;46.479
5048;910;9744;6;35.468;212.808
5049;910;2038;5;14.549;72.745
5050;910;19693;4;57.178;228.714
5051;910;27446;6;209.263;1.255.578
5052;910;9288;3;164.279;492.836
5053;911;19843;4;34.625;138.500
5054;911;23142;1;47.233;47.233
5055;911;26369;5;106.616;533.079
5056;911;14620;8;42.831;342.648
5057;911;9896;9;12.990;116.910
5058;911;8590;7;76.713;536.988
5059;912;24033;5;110.315;551.576
5060;912;4722;5;143.480;717.399
5061;912;12568;4;164.586;658.344
5062;912;17973;3;187.259;561.777
5063;913;27400;1;119.886;119.886
5064;913;6264;2;81.475;162.951
5065;914;9217;6;20.028;120.169
5066;914;10611;2;36.077;72.154
5067;914;1613;6;102.661;615.968
5068;914;19919;5;81.031;405.153
5069;914;25925;5;26.249;131.244
5070;914;14547;7;179.106;1.253.740
5071;914;26213;8;95.799;766.393
5072;914;805;4;144.988;579.951
5073;915;11522;2;1.102.982;2.205.964
5074;915;3479;4;38.511;154.044
5075;915;8886;2;10.555;21.111
5076;916;24269;7;68.511;479.578
5077;916;23802;8;109.652;877.213
5078;916;26917;3;42.748;128.245
5079;916;4368;8;229.146;1.833.170
5080;916;637;10;242.564;2.425.645
5081;917;19926;7;19.994;139.956
5082;918;24706;8;88.797;710.373
5083;918;19533;10;47.622;476.224
5084;918;23607;3;96.618;289.854
5085;918;3040;7;75.115;525.807
5086;918;27380;3;0.8311;24.932
5087;919;13853;5;58.107;290.535
5088;919;21664;8;17.211;137.686
5089;919;23665;4;395.014;1.580.054
5090;919;170;4;145.873;583.492
5091;919;353;4;62.037;248.150
5092;919;2060;9;34.125;307.128
5093;919;17547;2;256.917;513.834
5094;919;22892;5;0.8701;43.507
5095;920;20554;6;63.047;378.280
5096;920;24225;8;52.591;420.727
5097;921;25196;10;56.206;562.058
5098;922;3607;2;124.927;249.855
5099;922;24109;7;187.141;1.309.990
5100;922;17736;2;187.298;374.596
5101;922;22244;4;136.489;545.957
5102;922;18446;4;366.662;1.466.647
5103;922;6842;3;0.6523;19.568
5104;922;2830;2;93.022;186.043
5105;922;1885;4;136.230;544.921
5106;922;8066;8;225.483;1.803.861
5107;922;11520;9;468.271;4.214.442
5108;923;6565;9;245.332;2.207.985
5109;923;10017;6;95.667;574.003
5110;923;10358;7;61.259;428.813
5111;923;27261;9;122.280;1.100.520
5112;923;25476;7;102.392;716.744
5113;923;21411;4;153.360;613.440
5114;923;17726;10;95.733;957.329
5115;923;10014;2;116.214;232.428
5116;924;20227;2;50.247;100.494
5117;924;1304;8;102.246;817.969
5118;924;11801;6;14.528;87.165
5119;924;2521;3;232.224;696.672
5120;925;15817;6;101.440;608.640
5121;925;10192;4;252.956;1.011.824
5122;925;23788;8;46.980;375.839
5123;925;635;6;533.060;3.198.361
5124;925;13317;7;27.826;194.779
5125;925;18788;8;112.763;902.104
5126;925;7827;5;1.014.788;5.073.942
5127;925;18288;2;323.098;646.196
5128;925;17770;1;63.943;63.943
5129;925;20877;6;21.777;130.665
5130;926;17327;9;0.8364;75.276
5131;926;13519;5;38.277;191.386
5132;926;7468;5;1.154.054;5.770.272
5133;926;15987;6;60.656;363.933
5134;926;8237;7;87.715;614.004
5135;927;6129;8;230.355;1.842.841
5136;927;20864;8;221.413;1.771.305
5137;927;16746;3;58.891;176.672
5138;927;25237;8;23.701;189.607
5139;927;25177;1;1.160.245;1.160.245
5140;928;20240;4;60.617;242.468
5141;928;8202;6;19.247;115.481
5142;928;2378;6;124.122;744.731
5143;928;4809;8;238.281;1.906.246
5144;929;25616;4;186.322;745.290
5145;929;22695;7;63.469;444.280
5146;930;3146;5;110.523;552.617
5147;931;26826;3;41.276;123.828
5148;931;21068;3;114.262;342.786
5149;931;17628;2;38.473;76.946
5150;931;27107;4;177.419;709.677
5151;931;9647;1;421.135;421.135
5152;932;22668;3;221.188;663.565
5153;933;6032;4;180.222;720.889
5154;933;18232;4;473.662;1.894.647
5155;933;21480;3;150.989;452.968
5156;933;16372;2;28.728;57.455
5157;933;22511;10;76.678;766.777
5158;933;11785;4;105.638;422.550
5159;933;16274;5;60.404;302.019
5160;934;4491;7;370.670;2.594.689
5161;934;1006;4;14.586;58.346
5162;934;25382;10;37.284;372.836
5163;934;26328;8;67.521;540.167
5164;934;3558;2;81.673;163.347
5165;934;12427;4;155.528;622.114
5166;934;19650;10;172.665;1.726.649
5167;934;10067;9;15.475;139.271
5168;934;3296;5;51.070;255.352
5169;935;25056;6;90.192;541.152
5170;935;10400;5;278.346;1.391.729
5171;935;17469;5;201.816;1.009.079
5172;935;15029;7;383.673;2.685.711
5173;935;13267;5;58.686;293.428
5174;935;24451;3;82.460;247.381
5175;936;3180;9;107.874;970.868
5176;936;455;3;99.080;297.240
5177;936;24965;7;16.219;113.530
5178;936;8591;2;34.193;68.386
5179;936;27978;6;57.607;345.642
5180;937;23566;2;64.188;128.376
5181;938;1374;3;139.115;417.346
5182;938;24988;8;14.953;119.621
5183;939;22431;4;128.475;513.901
5184;939;18302;8;42.201;337.611
5185;939;1188;5;0.7377;36.885
5186;939;23382;6;79.870;479.221
5187;939;15848;2;60.445;120.890
5188;939;13021;9;142.301;1.280.708
5189;939;24637;2;0.8234;16.468
5190;939;5855;7;106.413;744.893
5191;939;9658;1;100.967;100.967
5192;939;4101;1;169.387;169.387
5193;940;10061;9;172.640;1.553.762
5194;940;10953;2;162.949;325.898
5195;941;9087;10;98.527;985.270
5196;941;27454;5;260.761;1.303.803
5197;941;16309;9;17.809;160.281
5198;941;24633;3;43.000;129.000
5199;942;16873;7;17.379;121.651
5200;942;2180;9;92.599;833.387
5201;942;2986;9;145.731;1.311.578
5202;942;6730;6;98.065;588.387
5203;942;26652;3;390.358;1.171.073
5204;942;2774;1;57.486;57.486
5205;943;20264;9;177.675;1.599.073
5206;943;12108;5;153.999;769.996
5207;944;16728;10;0.3192;31.922
5208;944;14817;6;58.842;353.052
5209;944;25927;2;66.245;132.489
5210;944;14584;2;0.9346;18.693
5211;944;24534;8;141.911;1.135.290
5212;944;6489;7;0.8680;60.759
5213;944;18252;1;77.475;77.475
5214;944;11056;4;136.809;547.236
5215;944;10719;10;63.272;632.724
5216;945;192;4;553.443;2.213.770
5217;945;4450;9;208.045;1.872.403
5218;945;14906;6;99.472;596.833
5219;945;3312;7;89.387;625.710
5220;945;4810;9;32.123;289.107
5221;945;23088;5;16.229;81.143
5222;945;23011;8;48.069;384.549
5223;946;6798;3;777.905;2.333.715
5224;946;14700;9;142.564;1.283.076
5225;946;7621;1;152.357;152.357
5226;946;24475;7;32.243;225.702
5227;946;20989;6;175.482;1.052.895
5228;946;17244;6;228.678;1.372.067
5229;947;18611;9;284.232;2.558.090
5230;947;19709;5;25.528;127.640
5231;947;11154;5;274.051;1.370.257
5232;947;17074;6;144.342;866.050
5233;947;15993;5;55.841;279.204
5234;947;11866;6;15.489;92.933
5235;947;17027;9;0.9771;87.940
5236;947;26205;9;949.333;8.543.999
5237;948;334;10;137.021;1.370.211
5238;948;16476;1;58.084;58.084
5239;948;5628;4;111.944;447.774
5240;948;3497;9;53.739;483.651
5241;948;27569;3;62.768;188.305
5242;948;22503;1;23.726;23.726
5243;948;16181;6;27.562;165.370
5244;949;94;5;0.6915;34.577
5245;949;4950;9;186.509;1.678.584
5246;949;14311;3;15.717;47.152
5247;949;287;10;282.512;2.825.118
5248;949;2087;3;14.649;43.946
5249;949;22755;7;108.901;762.308
5250;949;2001;3;14.868;44.603
5251;950;15749;8;65.256;522.049
5252;950;995;7;87.727;614.092
5253;950;15287;8;479.979;3.839.832
5254;950;24232;10;28.047;280.474
5255;950;20296;10;23.584;235.845
5256;950;10826;5;17.160;85.801
5257;951;20837;2;117.939;235.879
5258;951;23170;2;59.656;119.312
5259;951;6225;2;74.507;149.015
5260;951;6545;2;172.347;344.693
5261;951;22783;7;111.703;781.921
5262;951;16681;10;918.003;9.180.025
5263;951;18974;1;12.618;12.618
5264;951;10555;2;1.269.732;2.539.465
