ID;USERID;DATE_;TOTALPRICE;STATUS_;ADDRESSID
117;7931;3.05.2019 14:28;2.418.371;2;19391
118;4952;23.11.2019 22:12;6.294.733;2;6817
119;4179;13.11.2019 00:34;1.428.956;2;15413
120;4811;17.04.2019 22:01;1.251.323;2;6465
121;7780;12.01.2020 20:38;3.723.384;2;19018
122;4687;1.01.2020 02:22;7.189.092;2;6157
123;2528;22.01.2019 22:39;4.700.039;2;11420
124;4864;10.02.2019 03:25;2.757.271;2;6596
125;8467;9.04.2019 17:13;6.858.614;2;20690
126;7039;10.10.2019 12:31;93.313;2;17168
127;1361;7.10.2019 18:23;13.728.744;2;3287
128;6365;18.11.2019 09:57;907.122;2;10333
129;2490;1.04.2019 01:21;599.342;2;11320
130;6903;17.03.2019 02:54;1.189.811;2;16841
131;8295;5.03.2019 19:40;22.609.311;2;20269
132;7212;12.03.2019 23:21;4.049.269;2;17584
133;8564;24.10.2019 01:05;7.264.714;2;20930
134;2328;2.07.2019 00:25;9.439.973;2;10916
135;6948;2.11.2019 00:25;5.819.607;2;16948
136;3272;25.03.2019 10:10;5.023.537;2;13222
137;7692;9.03.2020 14:21;9.184.677;2;18810
138;2585;25.07.2019 04:46;4.370.903;2;11555
139;3404;4.06.2019 16:18;107.626;2;13528
140;2483;3.10.2019 07:41;2.961.457;2;11301
141;6914;10.03.2019 06:45;2.248.280;2;16870
142;2792;8.01.2019 17:06;3.162.689;2;12055
143;6971;18.03.2019 04:07;2.505.806;2;17004
144;8985;27.08.2019 11:47;3.140.624;2;21966
145;8337;5.05.2019 06:58;9.197.324;2;20375
146;4608;22.05.2019 06:13;345.123;2;5955
147;7449;26.06.2019 02:57;2.857.342;2;18184
148;6524;31.12.2019 20:54;4.049.805;2;15954
149;2447;8.10.2019 09:52;39.688;2;11213
150;3692;28.08.2019 13:35;3.817.834;2;14226
151;4984;25.10.2019 10:06;2.961.186;2;6907
152;4864;19.03.2020 14:39;2.364.751;2;6596
153;9543;22.07.2019 05:21;4.948.559;2;23341
154;5287;11.02.2020 16:10;6.561.501;2;7656
155;8327;26.08.2019 16:39;2.669.707;2;20350
156;9091;14.01.2019 09:43;6.289.064;2;22203
157;2384;10.10.2019 16:51;7.509.171;2;11051
158;5695;4.11.2019 04:29;3.826.815;2;8705
159;9150;19.09.2019 14:02;6.629.275;2;22350
160;4851;3.02.2019 18:27;2.810.587;2;24473
161;8357;7.05.2019 12:08;4.861.521;2;20422
162;9116;13.08.2019 02:39;2.675.127;2;22269
163;698;23.06.2019 09:45;1.214.884;2;1660
164;5975;14.01.2019 09:07;927.644;2;9400
165;771;4.02.2019 13:31;8.596.575;2;1843
166;5490;14.03.2020 13:30;3.575.312;2;8201
167;4141;3.11.2019 06:44;10.805.009;2;15327
168;5382;1.04.2019 05:20;62.171;2;7926
169;7895;21.02.2019 11:08;3.370.872;2;19299
170;4152;9.12.2019 08:51;1.880.822;2;15352
171;8516;20.03.2019 07:04;2.026.657;2;20807
172;2237;14.02.2019 09:04;4.790.682;2;10696
173;3620;21.02.2019 03:04;489.066;2;14048
174;4593;15.10.2019 14:17;1.979.024;2;5920
175;1411;20.07.2019 13:59;2.334.026;2;3419
176;6206;9.04.2019 13:30;6.299.503;2;9962
177;2922;25.01.2019 21:54;3.572.846;2;12347
178;1559;7.04.2019 00:58;7.518.844;2;3776
179;5447;3.01.2020 18:07;7.392.602;2;8088
180;6854;18.03.2020 19:38;8.143.828;2;16724
181;243;22.05.2019 00:14;372.935;2;557
182;1201;3.02.2020 17:19;7.001.946;2;2889
183;5752;20.02.2020 18:14;3.029.896;2;8834
184;3755;26.01.2019 00:25;4.738.086;2;14391
185;1929;13.01.2020 10:58;207.643;2;4673
186;5684;12.10.2019 09:11;1.784.607;2;8677
187;6305;31.05.2019 07:17;1.772.980;2;10194
188;8785;19.03.2019 13:35;7.487.994;2;21466
189;372;23.03.2020 14:02;6.023.891;2;852
190;1801;3.12.2019 14:47;369.995;2;4353
191;2252;24.10.2019 10:51;4.960.653;2;10734
192;7313;26.06.2019 15:05;5.694.657;2;17832
193;7862;13.02.2019 20:22;2.464.152;2;19215
194;7911;23.03.2020 13:37;552.608;2;19336
195;520;6.03.2020 10:22;3.097.433;2;1227
196;1398;15.02.2020 00:48;6.966.392;2;3384
197;9230;21.12.2019 21:42;15.546.025;2;22563
198;992;21.01.2019 08:41;4.775.579;2;2381
199;648;24.05.2019 09:07;8.516.000;2;1540
200;2806;24.02.2019 08:40;3.000.143;2;12093
201;9561;8.11.2019 20:42;4.756.486;2;23390
202;3053;19.05.2019 21:49;7.967.905;2;12678
203;4652;27.01.2020 02:58;7.022.629;2;6067
204;3244;1.02.2019 09:58;1.508.522;2;13157
205;4315;17.11.2019 12:00;6.845.697;2;5266
206;4369;19.07.2019 04:25;47.495;2;5398
207;1855;20.02.2019 01:48;10.434.256;2;4492
208;2248;5.02.2020 12:35;700.058;2;10724
209;996;12.02.2020 01:31;1.607.928;2;2393
210;1984;13.10.2019 09:33;2.912.378;2;4824
211;520;1.09.2019 08:25;6.453.152;2;1227
212;397;17.02.2020 18:12;2.493.319;2;915
213;8275;18.06.2019 16:30;6.726.204;2;20223
214;5735;14.03.2020 19:13;3.743.888;2;8793
215;3794;1.08.2019 12:03;4.843.164;2;14484
216;1834;20.12.2019 06:27;391.223;2;4440
217;3939;3.02.2019 14:13;3.441.799;2;14837
218;5675;19.08.2019 07:36;900.827;2;8657
219;8375;29.01.2019 10:39;6.529.765;2;20468
220;7905;26.01.2020 08:37;3.948.662;2;19322
221;2845;15.12.2019 04:13;3.885.386;2;12166
222;3528;28.02.2019 23:10;5.324.949;2;13832
223;6364;4.02.2019 12:46;5.564.571;2;10328
224;3913;7.09.2019 16:02;4.035.478;2;14775
225;4693;29.11.2019 19:36;0.2931;2;6167
226;4107;30.08.2019 13:43;11.657.974;2;15237
227;7212;5.02.2020 15:27;3.191.366;2;17584
228;4086;6.02.2019 16:24;656.830;2;15186
229;3425;14.11.2019 04:31;299.180;2;13576
230;9396;8.10.2019 06:56;406.703;2;22965
231;3835;6.07.2019 20:00;1.846.427;2;14583
232;1345;6.01.2019 07:26;14.687.268;2;3242
233;498;1.10.2019 18:28;4.994.942;2;1173
234;7905;28.01.2019 15:14;1.157.074;2;19323
235;3757;11.06.2019 08:23;3.770.299;2;14395
236;2658;15.11.2019 12:38;2.535.097;2;11739
237;687;2.10.2019 11:36;1.357.519;2;1636
238;2337;24.02.2020 22:05;6.093.413;2;10935
239;1431;4.02.2020 00:45;16.155.372;2;3470
240;2615;8.04.2019 01:48;4.023.984;2;11637
241;2019;26.11.2019 16:53;3.481.153;2;4920
242;5499;6.05.2019 19:49;765.467;2;8227
243;5335;24.06.2019 12:29;178.856;2;7794
244;1082;9.05.2019 14:24;710.823;2;2600
245;3629;19.02.2020 20:40;442.978;2;14071
246;32;5.05.2019 00:40;3.405.738;2;72
247;8186;6.12.2019 20:24;138.327;2;20011
248;6414;10.02.2019 05:44;4.488.795;2;24472
249;4147;11.03.2020 15:21;3.653.846;2;15340
250;3129;24.06.2019 01:45;5.187.038;2;12857
251;5729;15.05.2019 23:50;8.928.212;2;8782
252;4601;19.04.2019 09:53;7.805.880;2;5941
253;7085;18.05.2019 11:00;4.611.516;2;17283
254;2835;6.11.2019 03:52;2.354.052;2;12149
255;840;12.07.2019 16:38;2.599.249;2;1993
256;2036;11.12.2019 20:21;1.008.948;2;4961
257;5868;30.09.2019 17:19;3.649.648;2;9136
258;6204;4.07.2019 11:42;8.874.623;2;9957
259;5111;10.02.2019 18:41;1.109.601;2;7238
260;8978;19.11.2019 15:07;8.821.766;2;21940
261;4688;24.05.2019 03:38;177.442;2;6159
262;5536;16.09.2019 05:11;1.070.024;2;8328
263;5937;23.02.2019 10:59;3.900.300;2;9301
264;5016;26.01.2019 09:54;4.824.257;2;6982
265;5487;8.11.2019 19:42;4.385.257;2;8196
266;1669;1.01.2019 19:53;1.229.731;2;4040
267;2027;20.04.2019 18:22;11.871.884;2;4937
268;5640;24.02.2019 05:55;5.683.103;2;8582
269;7817;21.09.2019 14:24;1.441.286;2;19110
270;4685;26.12.2019 12:45;3.017.617;2;6150
271;667;1.05.2019 06:40;1.814.348;2;1582
272;5887;2.06.2019 02:51;790.175;2;9185
273;5057;16.03.2020 05:51;1.668.246;2;7091
274;4576;21.01.2019 19:09;4.413.341;2;5884
275;3230;27.01.2020 19:15;5.255.331;2;13112
276;5537;13.07.2019 20:19;7.475.614;2;8331
277;7337;12.09.2019 02:34;6.606.688;2;17894
278;5384;25.01.2020 04:35;7.765.053;2;7930
279;6085;13.01.2020 11:18;2.290.427;2;9669
280;5471;27.05.2019 05:13;6.512.368;2;8156
281;3647;21.07.2019 00:12;4.095.036;2;14119
282;1910;28.09.2019 10:24;511.965;2;4624
283;2614;5.02.2019 09:15;3.624.489;2;11635
284;4276;28.06.2019 23:46;814.427;2;15642
285;3246;20.09.2019 17:07;3.866.889;2;13159
286;2870;7.02.2019 10:25;1.720.772;2;12218
287;2241;25.08.2019 05:31;4.126.786;2;10706
288;6291;8.03.2020 15:28;2.355.187;2;10161
289;5534;1.11.2019 09:46;1.010.598;2;8325
290;1572;1.10.2019 23:29;3.466.763;2;3812
291;8183;14.03.2019 05:23;2.961.299;2;20006
292;6389;8.02.2020 22:01;3.679.521;2;10391
293;3587;27.01.2019 07:27;4.053.720;2;13974
294;405;22.01.2020 15:58;2.189.842;2;940
295;3699;13.02.2019 12:27;4.008.072;2;14247
296;7841;28.01.2020 14:20;5.415.048;2;19161
297;9244;23.09.2019 04:09;6.928.731;2;22593
298;1875;6.03.2019 03:35;4.531.613;2;4537
299;1498;18.02.2020 19:38;166.990;2;3627
300;7772;30.04.2019 06:32;5.376.340;2;18998
301;1095;27.06.2019 02:57;7.883.891;2;2633
302;7165;3.01.2019 14:03;8.676.932;2;17474
303;1273;21.01.2019 10:58;8.135.615;2;3066
304;7455;30.09.2019 23:49;12.600.975;2;18196
305;5145;16.08.2019 02:16;4.135.118;2;7329
306;2927;6.02.2019 19:14;2.615.974;2;12359
307;8631;7.01.2020 05:29;1.120.505;2;21091
308;8523;5.07.2019 01:59;3.141.606;2;20825
309;5586;21.02.2019 23:34;4.221.387;2;8459
310;9653;14.06.2019 14:46;4.828.023;2;23622
311;1562;21.02.2019 06:56;2.983.710;2;3784
312;8312;27.01.2019 10:47;3.155.553;2;20316
313;7188;26.01.2020 01:34;3.045.942;2;17535
314;9263;13.03.2019 01:28;1.699.536;2;22636
315;7533;11.06.2019 05:33;2.187.048;2;18394
316;1199;21.10.2019 13:41;9.565.523;2;2885
317;4397;16.04.2019 23:29;8.133.513;2;24502
318;322;21.10.2019 07:16;1.748.562;2;736
319;3930;29.01.2019 20:30;5.632.405;2;14814
320;2369;5.03.2019 03:31;4.281.280;2;11016
321;7119;8.10.2019 14:25;7.494.189;2;17361
322;5421;6.02.2019 00:16;10.348.101;2;8024
323;7821;24.03.2019 20:03;329.644;2;19117
324;5557;6.01.2019 12:02;554.822;2;8383
325;2136;19.12.2019 13:19;6.142.570;2;5200
326;6457;3.01.2019 10:56;3.575.368;2;15793
327;1923;20.09.2019 01:41;4.297.431;2;4654
328;267;19.03.2020 13:12;7.361.666;2;613
329;1477;2.08.2019 02:10;3.416.646;2;3574
330;1287;7.05.2019 21:45;6.683.276;2;3101
331;5214;14.07.2019 15:48;838.282;2;7500
332;4386;20.05.2019 20:00;3.142.398;2;5435
333;7834;21.08.2019 00:06;6.301.838;2;19146
334;6054;12.07.2019 20:43;12.989.310;2;9593
335;4830;4.01.2019 12:01;3.558.318;2;6516
336;1088;24.03.2020 03:48;5.207.962;2;2613
337;775;26.11.2019 11:37;661.126;2;1851
338;9332;19.02.2020 19:09;4.268.389;2;22806
339;8320;4.07.2019 05:30;3.783.701;2;20335
340;892;18.06.2019 20:11;2.249.511;2;2138
341;4529;8.02.2019 05:01;4.035.643;2;5776
342;4506;23.09.2019 20:12;1.790.423;2;5729
343;98;8.03.2020 22:50;7.972.455;2;235
344;3297;15.03.2020 15:24;9.668.030;2;13284
345;5538;11.02.2019 19:02;11.225.192;2;8333
346;4556;17.04.2019 10:58;360.730;2;5846
347;440;11.08.2019 20:54;4.331.055;2;1028
348;3893;2.03.2020 14:58;6.633.752;2;14729
349;6768;2.05.2019 09:57;207.957;2;16511
350;7704;10.06.2019 13:10;3.366.040;2;18841
351;8652;29.03.2019 01:57;3.419.308;2;21133
352;6939;25.05.2019 22:05;7.811.925;2;16928
353;4584;15.04.2019 13:06;3.005.521;2;5901
354;2570;12.11.2019 05:09;3.618.974;2;11519
355;3818;16.02.2019 18:33;389.639;2;14541
356;4607;24.02.2019 12:14;3.079.294;2;5953
357;1775;2.06.2019 22:01;9.909.946;2;4301
358;8488;31.05.2019 00:02;7.784.691;2;20740
359;8636;10.11.2019 17:51;4.217.801;2;21101
360;4622;24.04.2019 11:54;2.999.266;2;5994
361;2365;5.01.2020 04:57;1.578.742;2;11008
362;4388;5.07.2019 23:31;4.228.720;2;5437
363;5727;30.01.2019 05:05;6.930.699;2;8777
364;6211;13.01.2020 03:47;1.141.340;2;9977
365;7724;23.06.2019 23:43;3.987.920;2;18891
366;1479;3.11.2019 05:02;14.301.999;2;3580
367;2902;27.03.2019 20:15;6.998.636;2;12297
368;9037;17.03.2019 20:13;15.848.689;2;22095
369;1449;1.03.2019 06:47;336.224;2;3505
370;2307;20.04.2019 05:15;2.655.042;2;10866
371;862;20.12.2019 23:38;3.189.673;2;2058
372;2113;10.10.2019 08:57;7.839.244;2;5143
373;7216;13.06.2019 06:48;323.252;2;17590
374;6236;10.01.2019 06:51;9.236.865;2;10023
375;9524;8.08.2019 04:53;3.804.595;2;23296
376;4514;23.11.2019 08:11;4.771.282;2;5747
377;6225;31.08.2019 02:03;3.287.748;2;10007
378;3117;19.09.2019 21:05;1.594.482;2;12830
379;3402;6.08.2019 09:11;11.517.291;2;13522
380;4086;16.10.2019 08:07;4.631.621;2;15185
381;7643;13.01.2019 17:07;368.325;2;18671
382;7288;27.07.2019 12:23;929.695;2;17766
383;5516;8.04.2019 12:07;2.485.457;2;8276
384;820;12.02.2019 04:04;11.695.040;2;1951
385;3861;27.04.2019 17:26;445.581;2;14651
386;4645;8.02.2020 19:11;5.381.798;2;6047
387;9178;22.05.2019 23:34;5.101.183;2;22424
388;8256;29.11.2019 03:11;1.139.394;2;20175
389;6594;2.01.2019 04:17;6.482.897;2;16108
390;4407;9.02.2020 10:36;129.993;2;5487
391;6639;17.01.2020 22:18;10.170.468;2;16219
392;6785;2.04.2019 20:03;5.562.900;2;16559
393;3263;1.05.2019 21:03;9.538.743;2;13202
394;2379;25.11.2019 07:20;4.658.094;2;11039
395;8320;7.10.2019 19:19;1.034.638;2;20335
396;6631;19.06.2019 19:56;3.267.044;2;16202
397;9666;6.05.2019 22:53;5.287.200;2;23657
398;1169;6.07.2019 07:19;9.239.299;2;2815
399;3243;23.02.2019 11:19;7.769.868;2;13153
400;1204;15.02.2019 23:28;7.802.749;2;2896
401;5116;17.01.2020 15:54;2.321.063;2;7249
402;1695;13.12.2019 17:30;4.565.542;2;4097
403;3712;2.10.2019 09:59;453.715;2;14279
404;9521;7.06.2019 21:26;1.935.886;2;23287
405;1244;1.02.2019 00:11;2.282.979;2;2988
406;1001;23.03.2019 04:12;7.923.497;2;2409
407;8583;23.02.2019 18:07;10.326.205;2;20977
408;7862;3.09.2019 16:49;4.904.991;2;19215
409;6144;26.10.2019 12:35;1.826.229;2;9807
410;698;2.02.2019 18:26;531.700;2;1661
411;6542;18.03.2019 16:44;1.947.747;2;15990
412;7504;22.02.2019 15:22;1.140.145;2;18320
413;7399;24.09.2019 18:55;6.226.174;2;18066
414;8261;26.06.2019 08:15;4.518.995;2;20188
415;261;1.03.2020 10:28;2.099.326;2;596
416;6591;19.12.2019 11:29;4.941.794;2;24479
417;9286;15.02.2019 18:18;2.066.045;2;22698
418;8759;6.12.2019 04:14;7.230.441;2;21409
419;3267;14.08.2019 13:00;53.269;2;13208
420;1427;20.12.2019 14:34;1.861.669;2;3458
421;8690;24.03.2020 14:33;7.805.280;2;21225
422;3558;9.06.2019 08:11;3.931.432;2;13905
423;8929;15.07.2019 20:40;9.416.128;2;21820
424;3470;3.03.2020 21:10;4.185.198;2;13677
425;3248;29.10.2019 19:31;785.002;2;13165
426;706;24.11.2019 15:15;1.287.269;2;1682
427;5650;3.03.2019 08:06;2.939.725;2;8611
428;8877;9.03.2020 07:47;6.733.181;2;21683
429;4034;31.10.2019 13:37;4.541.170;2;15068
430;8743;5.11.2019 10:50;7.476.718;2;21364
431;558;12.01.2019 11:37;316.733;2;1327
432;7773;22.09.2019 20:26;12.023.332;2;19000
433;8163;28.02.2019 17:00;4.079.169;2;19953
434;908;28.10.2019 11:34;7.768.641;2;2175
435;2970;23.09.2019 18:47;3.513.080;2;12467
436;7504;1.03.2020 15:11;3.521.471;2;18320
437;5033;11.09.2019 03:49;1.643.303;2;7020
438;99;14.04.2019 02:03;1.478.202;2;237
439;5697;2.04.2019 07:55;6.150.041;2;8708
440;7974;21.05.2019 19:07;2.566.347;2;19497
441;820;26.01.2020 08:17;5.250.524;2;1951
442;8452;12.05.2019 03:19;699.529;2;20641
443;1501;11.01.2020 07:14;807.493;2;3632
444;5096;2.08.2019 16:44;2.389.873;2;7203
445;9265;25.04.2019 13:38;50.037;2;22643
446;4541;13.04.2019 04:04;1.194.741;2;5804
447;7643;10.02.2019 16:19;6.160.369;2;18671
448;6624;20.12.2019 17:12;5.979.488;2;16180
449;4022;22.02.2019 20:30;3.639.292;2;15044
450;9587;10.01.2019 16:53;86.171;2;23453
451;9047;8.03.2019 22:04;954.714;2;22116
452;8843;22.01.2019 09:22;895.991;2;21604
453;9508;27.09.2019 06:30;4.569.278;2;23263
454;284;22.05.2019 14:00;4.749.444;2;656
455;3030;13.02.2019 20:24;1.114.798;2;12622
456;5147;19.11.2019 16:52;5.360.258;2;7339
457;7541;6.11.2019 19:09;2.655.656;2;18415
458;3406;7.02.2019 13:55;10.319.083;2;13533
459;13;10.09.2019 11:51;6.656.833;2;30
460;7235;17.04.2019 14:34;2.749.364;2;17638
461;7963;21.04.2019 21:37;947.411;2;19473
462;2001;20.08.2019 18:37;328.507;2;4876
463;7931;5.07.2019 21:24;2.606.651;2;19392
464;543;13.09.2019 04:58;347.611;2;1288
465;7370;9.03.2019 09:39;2.611.953;2;17988
466;4479;7.02.2020 13:57;656.376;2;5667
467;2182;7.01.2020 07:13;5.046.725;2;10555
468;2555;26.01.2019 18:54;696.146;2;24501
469;6673;15.05.2019 23:33;6.069.916;2;16296
470;1903;17.05.2019 05:49;7.984.166;2;4610
471;2718;10.03.2019 02:23;832.990;2;11884
472;6580;14.07.2019 17:10;878.995;2;16084
473;2450;18.02.2019 04:59;8.373.865;2;11221
474;8228;4.07.2019 07:11;3.107.385;2;20108
475;1921;11.08.2019 04:44;6.403.601;2;4652
476;6528;26.02.2020 23:29;1.970.219;2;15962
477;1163;13.11.2019 11:50;49.119;2;2797
478;3026;23.02.2020 05:03;2.321.541;2;12612
479;1369;29.07.2019 08:29;4.456.434;2;3309
480;3798;30.09.2019 06:07;895.986;2;14494
481;4121;7.02.2020 04:36;5.327.519;2;15272
482;4233;26.09.2019 10:19;2.777.644;2;15540
483;7183;13.05.2019 10:22;784.455;2;17522
484;5020;3.03.2019 00:38;2.947.949;2;6993
485;5275;5.09.2019 23:47;80.862;2;7632
486;3397;4.05.2019 01:36;10.966.719;2;13511
487;3572;25.10.2019 09:10;3.627.566;2;13939
488;4548;29.11.2019 01:03;7.749.489;2;5825
489;2130;8.10.2019 14:49;2.607.555;2;5186
490;2165;27.02.2019 10:48;5.281.202;2;10511
491;3413;4.02.2020 10:08;7.945.186;2;13552
492;9440;24.04.2019 12:53;3.977.281;2;23071
493;2218;13.03.2019 23:01;6.581.947;2;10647
494;61;4.11.2019 05:21;1.494.873;2;138
495;3155;20.08.2019 00:48;2.877.827;2;12925
496;1628;8.09.2019 14:32;1.040.640;2;3949
497;2656;13.09.2019 19:36;9.809.431;2;11734
498;3339;16.11.2019 07:02;666.902;2;13372
499;912;18.01.2020 10:06;4.629.527;2;2187
500;1095;2.04.2019 14:16;3.530.613;2;2633
501;5802;25.02.2020 14:54;1.538.387;2;8977
502;3105;20.09.2019 05:33;319.361;2;12797
503;4253;5.02.2019 04:56;281.655;2;15585
504;7287;9.10.2019 05:22;6.762.855;2;17765
505;1634;21.03.2019 08:50;11.794.393;2;3963
506;2020;20.01.2020 23:42;15.178.734;2;4923
507;6617;1.01.2019 22:40;4.429.786;2;16160
508;3687;12.03.2020 17:39;7.847.078;2;14211
509;3539;26.11.2019 06:42;438.813;2;13856
510;7204;12.01.2020 18:57;6.873.830;2;17568
511;2294;20.06.2019 20:15;3.986.632;2;10827
512;4763;6.04.2019 21:47;5.735.678;2;6343
513;325;27.02.2020 19:28;3.441.361;2;745
514;8287;17.02.2019 21:56;338.533;2;20250
515;8851;16.06.2019 06:44;2.060.740;2;21625
516;3418;11.06.2019 21:43;4.641.407;2;13565
517;19;29.11.2019 01:25;1.324.732;2;43
518;3326;10.06.2019 14:15;7.524.319;2;13349
519;9192;28.01.2020 07:27;1.483.460;2;22463
520;7166;17.10.2019 05:48;843.563;2;17477
521;220;12.10.2019 20:57;1.460.321;2;24480
522;7468;2.07.2019 21:42;1.580.616;2;18232
523;4743;6.09.2019 11:33;893.197;2;6294
524;7668;10.12.2019 06:45;19.194.422;2;18740
525;957;9.01.2020 08:23;4.728.998;2;2291
