Species,Stage,Clutch Completion,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,sample_id
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,37.5,18.9,179.0,2975.0,,48
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,36.0,17.9,190.0,3450.0,FEMALE,49
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,42.3,21.2,191.0,4150.0,MALE,50
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,39.6,17.7,186.0,3500.0,FEMALE,51
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,40.1,18.9,188.0,4300.0,MALE,52
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,35.0,17.9,190.0,3450.0,FEMALE,53
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,42.0,19.5,200.0,4050.0,MALE,54
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,34.5,18.1,187.0,2900.0,FEMALE,55
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,41.4,18.6,191.0,3700.0,MALE,56
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,39.0,17.5,186.0,3550.0,FEMALE,57
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,40.6,18.8,193.0,3800.0,MALE,58
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,36.5,16.6,181.0,2850.0,FEMALE,59
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,37.6,19.1,194.0,3750.0,MALE,60
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,35.7,16.9,185.0,3150.0,FEMALE,61
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,41.3,21.1,195.0,4400.0,MALE,62
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,37.6,17.0,185.0,3600.0,FEMALE,63
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,41.1,18.2,192.0,4050.0,MALE,64
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,36.4,17.1,184.0,2850.0,FEMALE,65
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,41.6,18.0,192.0,3950.0,MALE,66
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,35.5,16.2,195.0,3350.0,FEMALE,67
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,41.1,19.1,188.0,4100.0,MALE,68
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",No,35.9,16.6,190.0,3050.0,FEMALE,69
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",No,41.8,19.4,198.0,4450.0,MALE,70
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,33.5,19.0,190.0,3600.0,FEMALE,71
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,39.7,18.4,190.0,3900.0,MALE,72
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,39.6,17.2,196.0,3550.0,FEMALE,73
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,45.8,18.9,197.0,4150.0,MALE,74
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,35.5,17.5,190.0,3700.0,FEMALE,75
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,42.8,18.5,195.0,4250.0,MALE,76
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,40.9,16.8,191.0,3700.0,FEMALE,77
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,37.2,19.4,184.0,3900.0,MALE,78
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,36.2,16.1,187.0,3550.0,FEMALE,79
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,42.1,19.1,195.0,4000.0,MALE,80
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,34.6,17.2,189.0,3200.0,FEMALE,81
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,42.9,17.6,196.0,4700.0,MALE,82
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,36.7,18.8,187.0,3800.0,FEMALE,83
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,35.1,19.4,193.0,4200.0,MALE,84
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,37.3,17.8,191.0,3350.0,FEMALE,85
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,41.3,20.3,194.0,3550.0,MALE,86
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,36.3,19.5,190.0,3800.0,MALE,87
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,36.9,18.6,189.0,3500.0,FEMALE,88
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,38.3,19.2,189.0,3950.0,MALE,89
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,38.9,18.8,190.0,3600.0,FEMALE,90
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,35.7,18.0,202.0,3550.0,FEMALE,91
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,41.1,18.1,205.0,4300.0,MALE,92
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,34.0,17.1,185.0,3400.0,FEMALE,93
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,39.6,18.1,186.0,4450.0,MALE,94
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,36.2,17.3,187.0,3300.0,FEMALE,95
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,40.8,18.9,208.0,4300.0,MALE,96
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,38.1,18.6,190.0,3700.0,FEMALE,97
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,40.3,18.5,196.0,4350.0,MALE,98
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,33.1,16.1,178.0,2900.0,FEMALE,99
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,43.2,18.5,192.0,4100.0,MALE,100
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,35.0,17.9,192.0,3725.0,FEMALE,101
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,41.0,20.0,203.0,4725.0,MALE,102
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,37.7,16.0,183.0,3075.0,FEMALE,103
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,37.8,20.0,190.0,4250.0,MALE,104
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,37.9,18.6,193.0,2925.0,FEMALE,105
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,39.7,18.9,184.0,3550.0,MALE,106
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,38.6,17.2,199.0,3750.0,FEMALE,107
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,38.2,20.0,190.0,3900.0,MALE,108
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,38.1,17.0,181.0,3175.0,FEMALE,109
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,43.2,19.0,197.0,4775.0,MALE,110
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,38.1,16.5,198.0,3825.0,FEMALE,111
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,45.6,20.3,191.0,4600.0,MALE,112
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,39.7,17.7,193.0,3200.0,FEMALE,113
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,42.2,19.5,197.0,4275.0,MALE,114
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,39.6,20.7,191.0,3900.0,FEMALE,115
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,42.7,18.3,196.0,4075.0,MALE,116
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,38.6,17.0,188.0,2900.0,FEMALE,117
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,37.3,20.5,199.0,3775.0,MALE,118
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,35.7,17.0,189.0,3350.0,FEMALE,119
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,41.1,18.6,189.0,3325.0,MALE,120
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",No,36.2,17.2,187.0,3150.0,FEMALE,121
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",No,37.7,19.8,198.0,3500.0,MALE,122
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,40.2,17.0,176.0,3450.0,FEMALE,123
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,41.4,18.5,202.0,3875.0,MALE,124
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,35.2,15.9,186.0,3050.0,FEMALE,125
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,40.6,19.0,199.0,4000.0,MALE,126
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,38.8,17.6,191.0,3275.0,FEMALE,127
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,41.5,18.3,195.0,4300.0,MALE,128
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,39.0,17.1,191.0,3050.0,FEMALE,129
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,44.1,18.0,210.0,4000.0,MALE,130
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",No,38.5,17.9,190.0,3325.0,FEMALE,131
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",No,43.1,19.2,197.0,3500.0,MALE,132
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,36.8,18.5,193.0,3500.0,FEMALE,133
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,37.5,18.5,199.0,4475.0,MALE,134
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,38.1,17.6,187.0,3425.0,FEMALE,135
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,41.1,17.5,190.0,3900.0,MALE,136
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,35.6,17.5,191.0,3175.0,FEMALE,137
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,40.2,20.1,200.0,3975.0,MALE,138
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",No,37.0,16.5,185.0,3400.0,FEMALE,139
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",No,39.7,17.9,193.0,4250.0,MALE,140
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,40.2,17.1,193.0,3400.0,FEMALE,141
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,40.6,17.2,187.0,3475.0,MALE,142
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,32.1,15.5,188.0,3050.0,FEMALE,143
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,40.7,17.0,190.0,3725.0,MALE,144
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,37.3,16.8,192.0,3000.0,FEMALE,145
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,39.0,18.7,185.0,3650.0,MALE,146
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,39.2,18.6,190.0,4250.0,MALE,147
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,36.6,18.4,184.0,3475.0,FEMALE,148
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,36.0,17.8,195.0,3450.0,FEMALE,149
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,37.8,18.1,193.0,3750.0,MALE,150
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,36.0,17.1,187.0,3700.0,FEMALE,151
Adelie Penguin (Pygoscelis adeliae),"Adult, 1 Egg Stage",Yes,41.5,18.5,201.0,4000.0,MALE,152
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",No,46.5,17.9,192.0,3500.0,FEMALE,153
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",No,50.0,19.5,196.0,3900.0,MALE,154
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,51.3,19.2,193.0,3650.0,MALE,155
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,45.4,18.7,188.0,3525.0,FEMALE,156
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,52.7,19.8,197.0,3725.0,MALE,157
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,45.2,17.8,198.0,3950.0,FEMALE,158
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,46.1,18.2,178.0,3250.0,FEMALE,159
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,51.3,18.2,197.0,3750.0,MALE,160
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,46.0,18.9,195.0,4150.0,FEMALE,161
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,51.3,19.9,198.0,3700.0,MALE,162
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,46.6,17.8,193.0,3800.0,FEMALE,163
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,51.7,20.3,194.0,3775.0,MALE,164
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,47.0,17.3,185.0,3700.0,FEMALE,165
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,52.0,18.1,201.0,4050.0,MALE,166
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,45.9,17.1,190.0,3575.0,FEMALE,167
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,50.5,19.6,201.0,4050.0,MALE,168
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",No,50.3,20.0,197.0,3300.0,MALE,169
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",No,58.0,17.8,181.0,3700.0,FEMALE,170
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,46.4,18.6,190.0,3450.0,FEMALE,171
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,49.2,18.2,195.0,4400.0,MALE,172
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,42.4,17.3,181.0,3600.0,FEMALE,173
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,48.5,17.5,191.0,3400.0,MALE,174
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",No,43.2,16.6,187.0,2900.0,FEMALE,175
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",No,50.6,19.4,193.0,3800.0,MALE,176
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",No,46.7,17.9,195.0,3300.0,FEMALE,177
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",No,52.0,19.0,197.0,4150.0,MALE,178
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",No,50.5,18.4,200.0,3400.0,FEMALE,179
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",No,49.5,19.0,200.0,3800.0,MALE,180
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,46.4,17.8,191.0,3700.0,FEMALE,181
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,52.8,20.0,205.0,4550.0,MALE,182
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,40.9,16.6,187.0,3200.0,FEMALE,183
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,54.2,20.8,201.0,4300.0,MALE,184
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,42.5,16.7,187.0,3350.0,FEMALE,185
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,51.0,18.8,203.0,4100.0,MALE,186
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,49.7,18.6,195.0,3600.0,MALE,187
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,47.5,16.8,199.0,3900.0,FEMALE,188
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,47.6,18.3,195.0,3850.0,FEMALE,189
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,52.0,20.7,210.0,4800.0,MALE,190
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",No,46.9,16.6,192.0,2700.0,FEMALE,191
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",No,53.5,19.9,205.0,4500.0,MALE,192
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,49.0,19.5,210.0,3950.0,MALE,193
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,46.2,17.5,187.0,3650.0,FEMALE,194
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,50.9,19.1,196.0,3550.0,MALE,195
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,45.5,17.0,196.0,3500.0,FEMALE,196
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,50.9,17.9,196.0,3675.0,FEMALE,197
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,50.8,18.5,201.0,4450.0,MALE,198
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,50.1,17.9,190.0,3400.0,FEMALE,199
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,49.0,19.6,212.0,4300.0,MALE,200
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,51.5,18.7,187.0,3250.0,MALE,201
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,49.8,17.3,198.0,3675.0,FEMALE,202
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,48.1,16.4,199.0,3325.0,FEMALE,203
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,51.4,19.0,201.0,3950.0,MALE,204
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,45.7,17.3,193.0,3600.0,FEMALE,205
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,50.7,19.7,203.0,4050.0,MALE,206
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,42.5,17.3,187.0,3350.0,FEMALE,207
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,52.2,18.8,197.0,3450.0,MALE,208
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,45.2,16.6,191.0,3250.0,FEMALE,209
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,49.3,19.9,203.0,4050.0,MALE,210
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,50.2,18.8,202.0,3800.0,MALE,211
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,45.6,19.4,194.0,3525.0,FEMALE,212
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,51.9,19.5,206.0,3950.0,MALE,213
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,46.8,16.5,189.0,3650.0,FEMALE,214
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,45.7,17.0,195.0,3650.0,FEMALE,215
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",Yes,55.8,19.8,207.0,4000.0,MALE,216
Chinstrap penguin (Pygoscelis antarctica),"Adult, 1 Egg Stage",No,43.5,18.1,202.0,3400.0,FEMALE,217
